Date,Close,High,Low,Open,Volume
2010-01-01,30.1046,30.4786,30.08,30.4443,0
2010-01-04,30.5729,30.6429,30.34,30.5,123432050
2010-01-05,30.6257,30.7986,30.4643,30.6843,150476004
2010-01-06,30.1386,30.7471,30.1071,30.6257,138039594
2010-01-07,30.0829,30.2857,29.8643,30.24,119282324
2010-01-08,30.2829,30.2857,29.8657,30.0571,111969081
2010-01-11,30.0157,30.4286,29.7786,30.4243,115557365
2010-01-12,29.6743,29.9671,29.4886,29.9029,148614774
2010-01-13,30.0929,30.1329,29.1571,29.7314,151472335
2010-01-14,29.9186,30.0657,29.86,30.0057,108288411
2010-01-15,29.4186,30.2286,29.41,30.2,148584065
2010-01-18,29.4186,30.2286,29.41,30.2,0
2010-01-19,30.72,30.7414,29.6057,29.77,182501620
2010-01-20,30.2464,30.7929,29.9286,30.7014,153037892
2010-01-21,29.7246,30.4734,29.6014,30.3271,152038565
2010-01-22,28.25,29.6429,28.1657,29.54,220441872
2010-01-25,29.0107,29.2429,28.5986,28.9757,266424802
2010-01-26,29.42,30.53,28.94,29.4086,466777486
2010-01-27,29.6977,30.0829,28.5044,29.5443,430642030
2010-01-28,28.47,29.3571,28.3857,29.3314,293375376
2010-01-29,27.4376,28.8857,27.1786,28.7614,311487785
2010-02-01,27.8186,28.0,27.3286,27.5114,187468421
2010-02-02,27.98,28.0457,27.6257,27.99,174585313
2010-02-03,28.4614,28.6,27.7743,27.8943,153831769
2010-02-04,27.4357,28.3386,27.3671,28.1214,189412762
2010-02-05,27.9229,28.0,27.2643,27.5286,212576350
2010-02-08,27.7314,28.2686,27.7143,27.9543,119567119
2010-02-09,28.0271,28.2143,27.8214,28.0657,158221028
2010-02-10,27.8737,28.0857,27.7514,27.9743,92590218
2010-02-11,28.3814,28.5357,27.7229,27.8271,137585903
2010-02-12,28.6257,28.8057,27.9286,28.31,163866906
2010-02-15,28.6257,28.8057,27.9286,28.31,0
2010-02-16,29.0571,29.0986,28.7886,28.8843,135987761
2010-02-17,28.9357,29.1871,28.6943,29.1786,109098710
2010-02-18,28.9897,29.1271,28.7029,28.8043,105706111
